character
Tony Stark
Pepper Potts
Lt. Col. James 'Rhodey' Rhodes
Obadiah Stane
Captain America
Johann Schmidt
Nick Fury
Peggy Carter
Scott Lang
Dr. Hank Pym
Darren Cross
Hope Van Dyne
Bruce Banner
Betty Ross
Emil Blonsky
General 'Thunderbolt' Ross
Thor
Odin
Jane Foster
Loki
Steve Rogers
Natasha Romanoff
Clint Barton
Dr. Stephen Strange
Mordo
Dr. Christine Palmer
Wong
Ivan Vanko
Aldrich Killian
Colonel James Rhodes
T'Challa
Erik Killmonger
Nakia
Okoye
Alexander Pierce
Erik Selvig
Peter Quill
Groot
Rocket
Gamora
Peter Parker
Adrian Toomes
May Parker
Bucky Barnes
Hela
Drax
Baby Groot
Carol Danvers
Talos
Yon-Rogg
Luis
Sonny Burch
Iron Man
Red Skull
Ant-Man
Yellowjacket
Black Widow
Hawkeye
Black Panther
Spider-Man
Vulture
Hulk
Winter Soldier
Star-Lord
Vers
Keller
Wasp
Captain Marvel
