start;stop;time;distance
ABBESSES;ANVERS;9.709706999991322;647.3137999994215
ABBESSES;BLANCHE;7.638704999997863;509.2469999998575
ABBESSES;LAMARCKCAULAINCOURT;9.428188500002145;628.545900000143
ABBESSES;NOTREDAMEDELORETTE;14.479444499990207;965.2962999993471
ABBESSES;PIGALLE;4.421441999993403;294.76279999956023
ABBESSES;PLACEDECLICHY;12.674182500002209;844.9455000001473
ABBESSES;STGEORGES;10.762417499986476;717.4944999990985
ALESIA;DENFERTROCHEREAU;13.846602000001006;923.106800000067
ALESIA;MOUTONDUVERNET;7.691998499996263;512.7998999997509
ALESIA;PORTEDORLEANS;9.76980150000716;651.3201000004773
ALEXANDREDUMAS;AVRON;12.20388150000188;813.5921000001254
ALEXANDREDUMAS;BUZENVAL;14.720781000005665;981.3854000003777
ALEXANDREDUMAS;CHARONNE;12.847263000007949;856.48420000053
ALEXANDREDUMAS;PHILIPPEAUGUSTE;8.816618999996571;587.7745999997713
ALEXANDREDUMAS;RUEDESBOULETS;12.48843300000066;832.562200000044
ALMAMARCEAU;GEORGEV;12.474483000008624;831.6322000005749
ALMAMARCEAU;IENA;7.6263915000075935;508.42610000050627
ANATOLEFRANCE;LOUISEMICHEL;8.992870500004502;599.5247000003002
ANVERS;ABBESSES;9.709706999991322;647.3137999994215
ANVERS;BARBESROCHECHOUART;7.111322999991244;474.08819999941625
ANVERS;CADET;11.740258499997434;782.683899999829
ANVERS;CHATEAUROUGE;13.647200999994528;909.8133999996352
ANVERS;PIGALLE;8.261517000002204;550.767800000147
ANVERS;STGEORGES;14.602492499995279;973.4994999996852
ARGENTINE;CHARLESDEGAULLEETOILE;8.551975500002152;570.1317000001435
ARGENTINE;KLEBER;11.183770499994864;745.5846999996576
ARGENTINE;PORTEMAILLOT;10.073386500006311;671.5591000004207
ARGENTINE;TERNES;13.802161500004006;920.144100000267
ARGENTINE;VICTORHUGO;14.100970499992835;940.0646999995223
ARTSETMETIERS;BONNENOUVELLE;14.922250499996009;994.8166999997339
ARTSETMETIERS;CHATEAUDEAU;12.508939500002887;833.9293000001925
ARTSETMETIERS;ETIENNEMARCEL;11.114502000006034;740.9668000004023
ARTSETMETIERS;FILLESDUCALVAIRE;14.432689499997652;962.1792999998435
ARTSETMETIERS;JACQUESBONSERGENT;13.91682749999687;927.7884999997914
ARTSETMETIERS;OBERKAMPF;14.056430999991136;937.095399999409
ARTSETMETIERS;RAMBUTEAU;10.453816500004029;696.9211000002687
ARTSETMETIERS;REAUMURSEBASTOPOL;6.854731500007329;456.9821000004886
ARTSETMETIERS;REPUBLIQUE;11.41185899999924;760.7905999999493
ARTSETMETIERS;SENTIER;13.508060999998705;900.5373999999136
ARTSETMETIERS;STRASBOURGSTDENIS;9.488821500006015;632.588100000401
ARTSETMETIERS;TEMPLE;7.5383234999963316;502.55489999975543
ASNIERESGENNEVILLIERSLESCOURTILLES;LESAGNETTES;14.984384999995234;998.9589999996823
ASSEMBLEENATIONALE;CONCORDE;11.329378500006278;755.2919000004185
ASSEMBLEENATIONALE;INVALIDES;10.476886499999672;698.4590999999782
ASSEMBLEENATIONALE;RUEDUBAC;13.890773999994854;926.0515999996569
ASSEMBLEENATIONALE;SOLFERINO;6.156990000000223;410.4660000000149
ASSEMBLEENATIONALE;VARENNE;13.069388999995427;871.2925999996951
AVENUEEMILEZOLA;CAMBRONNE;9.054889499999117;603.6592999999411
AVENUEEMILEZOLA;CHARLESMICHELS;11.093546999992103;739.5697999994736
AVENUEEMILEZOLA;COMMERCE;5.3458739999926195;356.39159999950795
AVENUEEMILEZOLA;DUPLEIX;7.652693999996991;510.1795999997994
AVENUEEMILEZOLA;FELIXFAURE;11.017268999999503;734.4845999999669
AVENUEEMILEZOLA;LAMOTTEPICQUETGRENELLE;6.727440000004134;448.4960000002756
AVENUEEMILEZOLA;SEGUR;13.228838999995494;881.9225999996996
AVRON;ALEXANDREDUMAS;12.20388150000188;813.5921000001254
AVRON;BUZENVAL;3.478285499996273;231.88569999975152
AVRON;MARAICHERS;10.547360999996892;703.1573999997928
AVRON;NATION;9.607807500003254;640.5205000002169
AVRON;PICPUS;13.986371999997065;932.4247999998043
AVRON;RUEDESBOULETS;11.230621500000709;748.7081000000472
BALARD;LOURMEL;10.05070800000045;670.04720000003
BARBESROCHECHOUART;ANVERS;7.111322999991244;474.08819999941625
BARBESROCHECHOUART;CHATEAUROUGE;6.604464000002482;440.29760000016546
BARBESROCHECHOUART;GAREDUNORD;14.455133999987154;963.6755999991436
BARBESROCHECHOUART;LACHAPELLE;13.310860500001581;887.3907000001054
BARBESROCHECHOUART;MARCADETPOISSONNIERS;13.381347000009846;892.0898000006564
BARBESROCHECHOUART;POISSONNIERE;10.950247499995164;730.0164999996776
BASILIQUEDESTDENIS;STDENISPORTEDEPARIS;14.748192000008421;983.2128000005614
BASTILLE;BREGUETSABIN;7.125657000008505;475.043800000567
BASTILLE;CHEMINVERT;9.519345000003812;634.6230000002541
BASTILLE;LEDRUROLLIN;9.54127950000402;636.0853000002679
BASTILLE;QUAIDELARAPEE;13.790745000003955;919.3830000002637
BASTILLE;STPAUL;13.840835999994304;922.7223999996203
BASTILLE;SULLYMORLAND;10.096741499996279;673.1160999997519
BELAIR;DAUMESNIL;8.703658499993034;580.2438999995356
BELAIR;MICHELBIZOT;8.556279000004869;570.4186000003245
BELAIR;PICPUS;6.661836000006878;444.1224000004585
BELAIR;PORTEDECHARENTON;14.119199999993436;941.2799999995624
BELLEVILLE;COURONNES;8.942329499991029;596.1552999994019
BELLEVILLE;GONCOURT;9.18170250000141;612.1135000000941
BELLEVILLE;PARMENTIER;13.282760999991444;885.5173999994296
BELLEVILLE;PYRENEES;12.939065999997547;862.6043999998365
BERAULT;CHATEAUDEVINCENNES;14.135698499992142;942.379899999476
BERAULT;STMANDE;12.251066999993052;816.7377999995368
BERCY;DUGOMMIER;12.757431000003708;850.4954000002472
BERCY;QUAIDELAGARE;12.31857000001066;821.2380000007106
BIBLIOTHEQUEFRANCOISMITTERRAND;OLYMPIADES;13.000082999989973;866.6721999993315
BIBLIOTHEQUEFRANCOISMITTERRAND;QUAIDELAGARE;14.916346499998472;994.4230999998981
BILLANCOURT;MARCELSEMBAT;8.36308950000268;557.5393000001786
BILLANCOURT;PONTDESEVRES;12.650351999999256;843.3567999999503
BIRHAKEIM;DUPLEIX;10.549168500006779;703.277900000452
BIRHAKEIM;PASSY;9.70619849999668;647.0798999997786
BLANCHE;ABBESSES;7.638704999997863;509.2469999998575
BLANCHE;LAFOURCHE;12.152699999999022;810.1799999999348
BLANCHE;LIEGE;12.622124999989175;841.4749999992783
BLANCHE;PIGALLE;8.548748999994714;569.9165999996476
BLANCHE;PLACEDECLICHY;5.035477500004345;335.69850000028964
BLANCHE;ROME;14.529871500000008;968.6581000000006
BLANCHE;TRINITEDESTIENNEDORVES;13.319867999993729;887.9911999995819
BOISSIERE;IENA;8.173793999995105;544.9195999996737
BOISSIERE;KLEBER;11.632042500007087;775.4695000004725
BOISSIERE;TROCADERO;10.754620500003805;716.9747000002536
BOISSIERE;VICTORHUGO;9.897928500009002;659.8619000006001
BOLIVAR;BUTTESCHAUMONT;12.097242000005208;806.4828000003472
BOLIVAR;COLONELFABIEN;9.038818499991905;602.5878999994603
BOLIVAR;JAURES;7.336939500003938;489.1293000002625
BOLIVAR;LAUMIERE;13.407903000003426;893.8602000002284
BOLIVAR;LOUISBLANC;10.307757000001725;687.183800000115
BOLIVAR;RIQUET;12.580372499997614;838.6914999998409
BOLIVAR;STALINGRAD;11.169358499989611;744.6238999993075
BONNENOUVELLE;ARTSETMETIERS;14.922250499996009;994.8166999997339
BONNENOUVELLE;BOURSE;13.137848999995622;875.8565999997081
BONNENOUVELLE;CHATEAUDEAU;9.85458600000653;656.9724000004353
BONNENOUVELLE;ETIENNEMARCEL;12.454624500002248;830.3083000001499
BONNENOUVELLE;GRANDSBOULEVARDS;10.352116500012345;690.141100000823
BONNENOUVELLE;JACQUESBONSERGENT;12.576705000000652;838.4470000000434
BONNENOUVELLE;POISSONNIERE;13.034064000004435;868.9376000002957
BONNENOUVELLE;REAUMURSEBASTOPOL;8.067518999988678;537.8345999992453
BONNENOUVELLE;SENTIER;8.054431499998318;536.9620999998879
BONNENOUVELLE;STRASBOURGSTDENIS;5.433428999989992;362.2285999993328
BOTZARIS;BUTTESCHAUMONT;9.814467000009607;654.2978000006404
BOTZARIS;DANUBE;8.844442499993603;589.6294999995736
BOTZARIS;JOURDAIN;7.564035000004805;504.2690000003203
BOTZARIS;PLACEDESFETES;8.478691500006825;565.2461000004549
BOTZARIS;PRESTGERVAIS;11.595703499990632;773.0468999993755
BOTZARIS;PYRENEES;13.560294000008724;904.0196000005817
BOUCICAUT;CHARLESMICHELS;11.15423250000982;743.6155000006547
BOUCICAUT;COMMERCE;12.780154500011704;852.0103000007803
BOUCICAUT;FELIXFAURE;7.108759500004817;473.9173000003211
BOUCICAUT;LOURMEL;9.312703499987839;620.8468999991893
BOUCICAUT;PORTEDEVERSAILLES;14.464986000008063;964.3324000005374
BOULOGNEJEANJAURES;BOULOGNEPONTDESTCLOUD;13.406275499998591;893.7516999999061
BOULOGNEPONTDESTCLOUD;BOULOGNEJEANJAURES;13.406275499998591;893.7516999999061
BOURSE;BONNENOUVELLE;13.137848999995622;875.8565999997081
BOURSE;GRANDSBOULEVARDS;7.367791500005988;491.1861000003992
BOURSE;LEPELETIER;10.796598000002561;719.7732000001707
BOURSE;LOUVRERIVOLI;13.479577499998266;898.6384999998844
BOURSE;OPERA;12.185569499994745;812.3712999996496
BOURSE;PYRAMIDES;11.538574500003016;769.238300000201
BOURSE;QUATRESEPTEMBRE;6.465693000004977;431.0462000003318
BOURSE;RICHELIEUDROUOT;6.986932500001857;465.7955000001238
BOURSE;SENTIER;9.832690500002936;655.5127000001958
BREGUETSABIN;BASTILLE;7.125657000008505;475.043800000567
BREGUETSABIN;CHEMINVERT;4.44752699999779;296.50179999985266
BREGUETSABIN;LEDRUROLLIN;14.613097500010044;974.2065000006696
BREGUETSABIN;RICHARDLENOIR;8.136710999990465;542.4473999993643
BREGUETSABIN;STAMBROISE;13.140809999998307;876.0539999998872
BREGUETSABIN;STPAUL;11.622408000013092;774.8272000008728
BREGUETSABIN;STSEBASTIENFROISSART;11.645570999992195;776.3713999994796
