nom_clean;start;stop;time
STALINGRAD;2;5;4
STALINGRAD;2;7;4
STALINGRAD;5;2;4
STALINGRAD;5;7;4
STALINGRAD;7;2;4
STALINGRAD;7;5;4
STLAZARE;3;12;4
STLAZARE;3;13;4
STLAZARE;3;14;4
STLAZARE;12;3;4
STLAZARE;12;13;4
STLAZARE;12;14;4
STLAZARE;13;3;4
STLAZARE;13;12;4
STLAZARE;13;14;4
STLAZARE;14;3;4
STLAZARE;14;12;4
STLAZARE;14;13;4
STRASBOURGSTDENIS;4;8;4
STRASBOURGSTDENIS;4;9;4
STRASBOURGSTDENIS;8;4;4
STRASBOURGSTDENIS;8;9;4
STRASBOURGSTDENIS;9;4;4
STRASBOURGSTDENIS;9;8;4
TROCADERO;6;9;4
TROCADERO;9;6;4
VILLIERS;2;3;4
VILLIERS;3;2;4
