start;stop;ligne;time;distance
BARBESROCHECHOUART;ANVERS;2;1.3373601873353262;668.6800936676631
LACHAPELLE;BARBESROCHECHOUART;2;2.0863612928349538;1043.180646417477
STALINGRAD;LACHAPELLE;2;1.8054571632828305;902.7285816414152
JAURES;STALINGRAD;2;0.8626172924658481;431.30864623292405
COLONELFABIEN;JAURES;2;1.7317742345254632;865.8871172627316
BELLEVILLE;COLONELFABIEN;2;2.036631330049807;1018.3156650249034
COURONNES;BELLEVILLE;2;1.3436473160730618;671.8236580365309
MENILMONTANT;COURONNES;2;1.1582681051137258;579.1340525568629
PERELACHAISE;MENILMONTANT;2;1.6109778267496229;805.4889133748114
PHILIPPEAUGUSTE;PERELACHAISE;2;1.4819578253884915;740.9789126942458
ALEXANDREDUMAS;PHILIPPEAUGUSTE;2;1.3477447330428598;673.8723665214299
AVRON;ALEXANDREDUMAS;2;1.7136217570883945;856.8108785441973
NATION;AVRON;2;1.4627316663310683;731.3658331655341
PONTDELEVALLOISBECON;ANATOLEFRANCE;3;1.9866282609906616;993.3141304953308
ANATOLEFRANCE;LOUISEMICHEL;3;1.3759111222157052;687.9555611078526
LOUISEMICHEL;PORTEDECHAMPERRET;3;1.4246535681713854;712.3267840856927
PORTEDECHAMPERRET;PEREIRE;3;1.280093562907248;640.046781453624
PEREIRE;WAGRAM;3;1.547641233762962;773.820616881481
WAGRAM;MALESHERBES;3;1.1737317700595142;586.8658850297571
MALESHERBES;VILLIERS;3;1.4782664432768955;739.1332216384477
VILLIERS;EUROPE;3;1.6667009216638111;833.3504608319056
EUROPE;STLAZARE;3;1.2294726977798789;614.7363488899394
STLAZARE;HAVRECAUMARTIN;3;1.1951042098683526;597.5521049341763
HAVRECAUMARTIN;OPERA;3;1.4809849375137354;740.4924687568677
OPERA;QUATRESEPTEMBRE;3;1.0940272160730211;547.0136080365105
QUATRESEPTEMBRE;BOURSE;3;1.1894528554571897;594.7264277285949
BOURSE;SENTIER;3;1.5435960731927605;771.7980365963803
SENTIER;REAUMURSEBASTOPOL;3;1.201796508026446;600.8982540132231
REAUMURSEBASTOPOL;ARTSETMETIERS;3;1.220416787215428;610.2083936077139
ARTSETMETIERS;TEMPLE;3;1.2680299896046965;634.0149948023483
TEMPLE;REPUBLIQUE;3;0.8816684132557476;440.8342066278738
REPUBLIQUE;PARMENTIER;3;2.155500767589857;1077.7503837949284
PARMENTIER;RUESTMAUR;3;1.4482636937040223;724.1318468520111
RUESTMAUR;PERELACHAISE;3;1.5486826570272485;774.3413285136243
PERELACHAISE;GAMBETTA;3;2.2435303032778378;1121.765151638919
GAMBETTA;PORTEDEBAGNOLET;3;1.8292201715890744;914.6100857945372
PORTEDEBAGNOLET;GALLIENI;3;1.7820057413249666;891.0028706624832
ANATOLEFRANCE;PONTDELEVALLOISBECON;3;1.9866282609906616;993.3141304953308
LOUISEMICHEL;ANATOLEFRANCE;3;1.3759111222157052;687.9555611078526
PORTEDECHAMPERRET;LOUISEMICHEL;3;1.4246535681713854;712.3267840856927
PEREIRE;PORTEDECHAMPERRET;3;1.280093562907248;640.046781453624
WAGRAM;PEREIRE;3;1.547641233762962;773.820616881481
MALESHERBES;WAGRAM;3;1.1737317700595142;586.8658850297571
VILLIERS;MALESHERBES;3;1.4782664432768955;739.1332216384477
EUROPE;VILLIERS;3;1.6667009216638111;833.3504608319056
STLAZARE;EUROPE;3;1.2294726977798789;614.7363488899394
HAVRECAUMARTIN;STLAZARE;3;1.1951042098683526;597.5521049341763
OPERA;HAVRECAUMARTIN;3;1.4809849375137354;740.4924687568677
QUATRESEPTEMBRE;OPERA;3;1.0940272160730211;547.0136080365105
BOURSE;QUATRESEPTEMBRE;3;1.1894528554571897;594.7264277285949
SENTIER;BOURSE;3;1.5435960731927605;771.7980365963803
REAUMURSEBASTOPOL;SENTIER;3;1.201796508026446;600.8982540132231
ARTSETMETIERS;REAUMURSEBASTOPOL;3;1.220416787215428;610.2083936077139
TEMPLE;ARTSETMETIERS;3;1.2680299896046965;634.0149948023483
REPUBLIQUE;TEMPLE;3;0.8816684132557476;440.8342066278738
PARMENTIER;REPUBLIQUE;3;2.155500767589857;1077.7503837949284
RUESTMAUR;PARMENTIER;3;1.4482636937040223;724.1318468520111
PERELACHAISE;RUESTMAUR;3;1.5486826570272485;774.3413285136243
GAMBETTA;PERELACHAISE;3;2.2435303032778378;1121.765151638919
PORTEDEBAGNOLET;GAMBETTA;3;1.8292201715890744;914.6100857945372
GALLIENI;PORTEDEBAGNOLET;3;1.7820057413249666;891.0028706624832
PORTEDECLIGNANCOURT;SIMPLON;4;1.3806067400374535;690.3033700187268
SIMPLON;MARCADETPOISSONNIERS;4;1.1316135556854068;565.8067778427034
MARCADETPOISSONNIERS;CHATEAUROUGE;4;1.3989337190344628;699.4668595172315
CHATEAUROUGE;BARBESROCHECHOUART;4;1.3760347327373914;688.0173663686957
BARBESROCHECHOUART;GAREDUNORD;4;1.8808011975189858;940.4005987594929
GAREDUNORD;GAREDELEST;4;1.3004322660286565;650.2161330143282
GAREDELEST;CHATEAUDEAU;4;1.4052435773051648;702.6217886525824
CHATEAUDEAU;STRASBOURGSTDENIS;4;1.1961446361025936;598.0723180512967
STRASBOURGSTDENIS;REAUMURSEBASTOPOL;4;1.279167487447787;639.5837437238935
REAUMURSEBASTOPOL;ETIENNEMARCEL;4;1.2321485321974688;616.0742660987344
ETIENNEMARCEL;LESHALLES;4;1.075652338919218;537.826169459609
LESHALLES;CHATELET;4;1.7066038049907255;853.3019024953627
CHATELET;CITE;4;0.9757301383457406;487.86506917287034
CITE;STMICHEL;4;1.2108929837129447;605.4464918564723
STMICHEL;ODEON;4;1.0566715091087184;528.3357545543593
ODEON;STGERMAINDESPRES;4;1.4286450599442235;714.3225299721117
STGERMAINDESPRES;STSULPICE;4;1.0864558368866384;543.2279184433191
STSULPICE;STPLACIDE;4;1.7513173029438718;875.6586514719359
STPLACIDE;MONTPARNASSEBIENVENUE;4;1.8353750244685456;917.6875122342728
MONTPARNASSEBIENVENUE;VAVIN;4;1.6350200182036003;817.5100091018002
VAVIN;RASPAIL;4;1.2676859783464276;633.8429891732138
RASPAIL;DENFERTROCHEREAU;4;1.73462142414167;867.3107120708349
DENFERTROCHEREAU;MOUTONDUVERNET;4;1.099711567662666;549.855783831333
MOUTONDUVERNET;ALESIA;4;1.2496662151961275;624.8331075980637
ALESIA;PORTEDORLEANS;4;1.587615410265133;793.8077051325665
PORTEDORLEANS;MAIRIEDEMONTROUGE;4;1.857630156372532;928.815078186266
SIMPLON;PORTEDECLIGNANCOURT;4;1.3806067400374535;690.3033700187268
MARCADETPOISSONNIERS;SIMPLON;4;1.1316135556854068;565.8067778427034
CHATEAUROUGE;MARCADETPOISSONNIERS;4;1.3989337190344628;699.4668595172315
